ART 1DM3 - Dimensional Material Investigations and Concepts,ART,1DM3,Mo,13:30 PM,17:30 PM,TSH B102,Carmela Alfaro-laganse
ART 1OS3 - Observational Studies,ART,1OS3,Mo,8:30 AM,12:30 PM,TSH B103,Briana Palmer
ART 1TI3 - Making Art and Understanding Technology & Images,ART,1TI3,Th,19:0 PM,22:0 PM,TSH 118,Sally Mckay
ART 1UI3 - Making Art and Understanding Images,ART,1UI3,Mo,19:0 PM,22:0 PM,TSH 118,Sally Mckay
ART 2DG3 - Contemporary Approaches to Drawing,ART,2DG3,Th,8:30 AM,12:30 PM,TSH B103,Briana Palmer
ART 2PG3 - Contemporary Approaches to Painting,ART,2PG3,Tu,13:30 PM,17:30 PM,TSH B103,John W. Ford
ART 3CC3 - Concentrated Study - Ceramics,ART,3CC3,Mo,8:30 AM,12:20 PM,TSH B102,Carmela Alfaro-laganse
ART 3CL3 - Concentrated Study - Lithography,ART,3CL3,Mo,13:30 PM,17:30 PM,TSH 105,Briana Palmer
ART 3CL3 - Concentrated Study - Lithography,ART,3CL3,Mo,13:30 PM,17:30 PM,TSH 104,Briana Palmer
ART 3D03 - Practical Issues,ART,3D03,We,8:30 AM,12:30 PM,TSH 114,Sally Mckay
ART 3FW3 - Field Work: On-Site Explorations,ART,3FW3,Tu,13:30 PM,17:20 PM,TSH 105,Carmela Alfaro-laganse
ART 3ID3 - Integrated Dimensional Media Concentration,ART,3ID3,Tu,8:30 AM,12:30 PM,TSH B102,John W. Ford
ART 3ID3 - Integrated Dimensional Media Concentration,ART,3ID3,Tu,8:30 AM,12:30 PM,TSH B104,John W. Ford
ART 3TS3 - Touch Stone: Models for Studio Research,ART,3TS3,Th,13:30 PM,17:30 PM,TSH B104,Briana Palmer
ART 4AR3 - Advanced Research and Presentation Strategies,ART,4AR3,Th,8:30 AM,12:30 PM,TSH 105,Christopher Myhr
ART 4AR3 - Advanced Research and Presentation Strategies,ART,4AR3,Th,8:30 AM,12:30 PM,TSH 206,Christopher Myhr
ART 4AS6A - Advanced Studio Production and Critical Discourse,ART,4AS6A,Th,13:30 PM,17:30 PM,TSH 114,John W. Ford
"ART 4CA3 - 20th Century and Contemporary Art Practices: How Artists Think, Act and Engage",ART,4CA3,We,14:30 PM,16:30 PM,MMA A102,Ihor Holubizky
ART 4CL3 - Concentrated Study - Lithography,ART,4CL3,Mo,13:30 PM,17:30 PM,TSH 105,Briana Palmer
ART 4CL3 - Concentrated Study - Lithography,ART,4CL3,Mo,13:30 PM,17:30 PM,TSH 104,Briana Palmer
ARTHIST 1A03 - World Art and Cultural Heritage I,ARTHIST,1A03,Tu,8:30 AM,9:20 AM,TSH B128,Sabine Noack-haley
ARTHIST 1A03 - World Art and Cultural Heritage I,ARTHIST,1A03,Th,8:30 AM,9:20 AM,TSH B128,Sabine Noack-haley
ARTHIST 2A03 - Visual Literacy,ARTHIST,2A03,Tu,8:30 AM,10:20 AM,TSH B106,Nikolaos Drosos
ARTHIST 2B03 - Greek Art,ARTHIST,2B03,Tu,12:30 PM,13:20 PM,MDCL 1309,Spencer Pope
ARTHIST 2B03 - Greek Art,ARTHIST,2B03,We,12:30 PM,13:20 PM,MDCL 1309,Spencer Pope
ARTHIST 2B03 - Greek Art,ARTHIST,2B03,Fr,12:30 PM,13:20 PM,MDCL 1309,Spencer Pope
ARTHIST 2Y03 - Early Islamic Art to the Middle Ages,ARTHIST,2Y03,Mo,15:30 PM,16:20 PM,CNH B107,Sabine Noack-haley
ARTHIST 2Y03 - Early Islamic Art to the Middle Ages,ARTHIST,2Y03,Tu,16:30 PM,17:20 PM,CNH B107,Sabine Noack-haley
ARTHIST 2Y03 - Early Islamic Art to the Middle Ages,ARTHIST,2Y03,Th,15:30 PM,16:20 PM,CNH B107,Sabine Noack-haley
ARTHIST 3B03 - Aspects of Canadian Art,ARTHIST,3B03,Mo,19:0 PM,22:0 PM,BSB 106,Tobi Bruce
ARTHIST 3D03 - Seventeenth-Century Art,ARTHIST,3D03,Mo,8:30 AM,9:20 AM,TSH B106,Devin Therien
ARTHIST 3D03 - Seventeenth-Century Art,ARTHIST,3D03,We,8:30 AM,9:20 AM,TSH B106,Devin Therien
ARTHIST 3D03 - Seventeenth-Century Art,ARTHIST,3D03,Fr,10:30 AM,11:20 AM,TSH B106,Devin Therien
ARTHIST 3FL3 - Cinema History to WWII,ARTHIST,3FL3,Mo,17:30 PM,18:20 PM,TSH B105,Joseph Sokalski
ARTHIST 3FL3 - Cinema History to WWII,ARTHIST,3FL3,Mo,19:0 PM,20:0 PM,TSH B105,Joseph Sokalski
ARTHIST 3FL3 - Cinema History to WWII,ARTHIST,3FL3,Mo,20:0 PM,22:0 PM,TSH B105,Joseph Sokalski
ARTHIST 4BB3 - Seminar in Ancient Art,ARTHIST,4BB3,Tu,14:30 PM,16:20 PM,TSH 701,Spencer Pope
"ARTHIST 4CA3 - 20th Century and Contemporary Art Practices: How Artists Think, Act and Engage",ARTHIST,4CA3,We,14:30 PM,16:30 PM,MMA A102,Ihor Holubizky
ARTHIST 4H03 - Seminar in Art and Visual Culture 1750 to the Present,ARTHIST,4H03,Mo,11:30 AM,13:20 PM,TSH 321,Nikolaos Drosos
"ANTHROP 1AA3 - Introduction to Anthropology: Sex, Food and Death",ANTHROP,1AA3,Tu,14:30 PM,15:20 PM,TSH 120,Karen Mcgarry
"ANTHROP 1AA3 - Introduction to Anthropology: Sex, Food and Death",ANTHROP,1AA3,We,19:0 PM,22:0 PM,CNH 104,Tristan Carter
"ANTHROP 1AA3 - Introduction to Anthropology: Sex, Food and Death",ANTHROP,1AA3,Th,14:30 PM,15:20 PM,TSH 120,Karen Mcgarry
"ANTHROP 1AA3 - Introduction to Anthropology: Sex, Food and Death",ANTHROP,1AA3,Fr,14:30 PM,15:20 PM,ONLINE Class,Karen Mcgarry
"ANTHROP 1AB3 - Introduction to Anthropology: Race, Religion, and Conflict",ANTHROP,1AB3,Mo,9:30 AM,10:20 AM,TSH 120,Karen Mcgarry
"ANTHROP 1AB3 - Introduction to Anthropology: Race, Religion, and Conflict",ANTHROP,1AB3,Tu,10:30 AM,11:20 AM,TSH 120,Karen Mcgarry
"ANTHROP 1AB3 - Introduction to Anthropology: Race, Religion, and Conflict",ANTHROP,1AB3,Th,9:30 AM,10:20 AM,TSH 120,Karen Mcgarry
ANTHROP 2B03 - Contemporary Indigenous Knowledge and Societies,ANTHROP,2B03,Tu,8:30 AM,9:20 AM,KTH B132,Emily Cowall
